relative_time,BarometerSensor
0,1007.2640991210938
33,1007.2640991210938
99,1007.2640991210938
170,1007.2640991210938
233,1007.2640991210938
299,1007.2640991210938
369,1007.2640991210938
433,1007.2640991210938
499,1007.2629547119141
569,1007.2629547119141
633,1007.2629547119141
699,1007.2629547119141
769,1007.2629547119141
833,1007.2629547119141
899,1007.2629547119141
970,1007.2629547119141
1033,1007.2629547119141
1099,1007.2629547119141
1170,1007.2629547119141
1234,1007.2629547119141
1299,1007.2629547119141
1371,1007.2629547119141
1435,1007.2629547119141
1499,1007.2635650634766
1571,1007.2635650634766
1632,1007.2635650634766
1699,1007.2635650634766
1771,1007.2635650634766
1833,1007.2635650634766
1899,1007.2635650634766
1972,1007.2635650634766
2033,1007.2635650634766
2099,1007.2635650634766
2171,1007.2635650634766
2233,1007.2635650634766
2299,1007.2635650634766
2371,1007.2635650634766
2435,1007.2635650634766
2499,1007.2635650634766
2572,1007.2635650634766
2634,1007.2635650634766
2699,1007.2635650634766
2769,1007.2635650634766
2833,1007.2635650634766
2899,1007.2635650634766
2970,1007.2635650634766
3033,1007.2635650634766
3099,1007.2635650634766
3169,1007.2635650634766
3233,1007.2635650634766
3299,1007.2635650634766
3374,1007.2635650634766
3436,1007.2635650634766
3499,1007.2647094726562
3570,1007.2647094726562
3634,1007.2647094726562
3699,1007.2647094726562
3771,1007.2647094726562
3833,1007.2647094726562
3898,1007.2647094726562
3969,1007.2647094726562
4033,1007.2647094726562
4098,1007.2647094726562
4171,1007.2647094726562
4233,1007.2647094726562
4299,1007.2647094726562
4371,1007.2647094726562
4433,1007.2647094726562
4499,1007.2647094726562
4570,1007.2647094726562
4633,1007.2647094726562
4699,1007.2647094726562
4771,1007.2647094726562
4862,1007.2647094726562
4899,1007.2647094726562
4972,1007.2647094726562
5033,1007.2647094726562
5099,1007.2647094726562
5171,1007.2647094726562
5233,1007.2647094726562
5299,1007.2647094726562
5369,1007.2647094726562
5433,1007.2647094726562
5499,1007.2647094726562
5570,1007.2615814208984
5633,1007.2615814208984
5698,1007.2615814208984
5768,1007.2615814208984
5832,1007.2615814208984
5898,1007.2615814208984
5969,1007.2615814208984
6033,1007.2615814208984
6099,1007.2615814208984
6169,1007.2615814208984
6233,1007.2615814208984
6299,1007.2615814208984
6368,1007.2615814208984
6432,1007.2615814208984
6499,1007.2615814208984
6568,1007.2615814208984
6633,1007.2615814208984
6699,1007.2615814208984
6770,1007.2615814208984
6833,1007.2615814208984
6899,1007.2615814208984
6971,1007.2615814208984
7033,1007.2615814208984
7099,1007.2615814208984
7172,1007.2615814208984
7233,1007.2615814208984
7299,1007.2615814208984
7371,1007.2615814208984
7433,1007.2615814208984
7499,1007.2615814208984
7572,1007.2765350341797
7633,1007.2765350341797
7699,1007.2765350341797
7771,1007.2765350341797
7833,1007.2765350341797
7899,1007.2765350341797
7969,1007.2765350341797
8033,1007.2765350341797
8099,1007.2765350341797
8172,1007.2765350341797
8233,1007.2765350341797
8299,1007.2765350341797
8373,1007.2765350341797
8433,1007.2765350341797
8499,1007.2765350341797
8572,1007.3239898681641
8633,1007.3239898681641
8699,1007.3239898681641
8770,1007.3239898681641
8833,1007.3239898681641
8899,1007.3239898681641
8968,1007.3239898681641
9032,1007.3239898681641
9099,1007.3239898681641
9171,1007.3239898681641
9233,1007.3239898681641
9299,1007.3239898681641
9372,1007.3239898681641
9433,1007.3239898681641
9498,1007.3239898681641
9572,1007.4118804931641
9633,1007.4118804931641
9699,1007.4118804931641
9772,1007.4118804931641
9852,1007.4118804931641
9899,1007.4118804931641
9968,1007.4118804931641
10033,1007.4118804931641
10099,1007.4118804931641
10171,1007.4118804931641
10233,1007.4118804931641
10299,1007.4118804931641
10372,1007.4118804931641
10433,1007.4118804931641
10499,1007.4118804931641
10576,1007.4118804931641
10633,1007.5450134277344
10699,1007.5450134277344
10772,1007.5450134277344
10833,1007.5450134277344
10899,1007.5450134277344
10970,1007.5450134277344
11033,1007.5450134277344
11098,1007.5450134277344
11170,1007.5450134277344
11232,1007.5450134277344
11299,1007.5450134277344
11368,1007.5450134277344
11433,1007.5450134277344
11498,1007.5450134277344
11572,1007.5450134277344
11633,1007.7165985107422
11699,1007.7165985107422
11772,1007.7165985107422
11833,1007.7165985107422
11899,1007.7165985107422
11973,1007.7165985107422
12033,1007.7165985107422
12098,1007.7165985107422
12171,1007.7165985107422
12233,1007.7165985107422
12299,1007.7165985107422
12371,1007.7165985107422
12433,1007.7165985107422
12499,1007.7165985107422
12572,1007.7165985107422
12633,1007.918701171875
12699,1007.918701171875
12770,1007.918701171875
12833,1007.918701171875
12899,1007.918701171875
12972,1007.918701171875
13033,1007.918701171875
13098,1007.918701171875
13168,1007.918701171875
13232,1007.918701171875
13299,1007.918701171875
13367,1007.918701171875
13433,1007.918701171875
13499,1007.918701171875
13569,1007.918701171875
13633,1008.1344604492188
13699,1008.1344604492188
13773,1008.1344604492188
13833,1008.1344604492188
13899,1008.1344604492188
13972,1008.1344604492188
14033,1008.1344604492188
14098,1008.1344604492188
14172,1008.1344604492188
14233,1008.1344604492188
14299,1008.1344604492188
14365,1008.1344604492188
14433,1008.1344604492188
14499,1008.1344604492188
14565,1008.1344604492188
14633,1008.3454132080078
14699,1008.3454132080078
14768,1008.3454132080078
14852,1008.3454132080078
14899,1008.3454132080078
14968,1008.3454132080078
15033,1008.3454132080078
15099,1008.3454132080078
15168,1008.3454132080078
15233,1008.3454132080078
15299,1008.3454132080078
15370,1008.3454132080078
15432,1008.3454132080078
15499,1008.3454132080078
15565,1008.3454132080078
15632,1008.3454132080078
15699,1008.5563659667969
15765,1008.5563659667969
15832,1008.5563659667969
15899,1008.5563659667969
15967,1008.5563659667969
16032,1008.5563659667969
16099,1008.5563659667969
16167,1008.5563659667969
16233,1008.5563659667969
16299,1008.5563659667969
16365,1008.5563659667969
16432,1008.5563659667969
16499,1008.5563659667969
16567,1008.5563659667969
16632,1008.5563659667969
16699,1008.7647247314453
16767,1008.7647247314453
16832,1008.7647247314453
16898,1008.7647247314453
16965,1008.7647247314453
17033,1008.7647247314453
17099,1008.7647247314453
17166,1008.7647247314453
17233,1008.7647247314453
17299,1008.7647247314453
17367,1008.7647247314453
17433,1008.7647247314453
17498,1008.7647247314453
17568,1008.7647247314453
17633,1008.7647247314453
17699,1008.9694213867188
17765,1008.9694213867188
17832,1008.9694213867188
17899,1008.9694213867188
17965,1008.9694213867188
18033,1008.9694213867188
18099,1008.9694213867188
18165,1008.9694213867188
18232,1008.9694213867188
18299,1008.9694213867188
18367,1008.9694213867188
18433,1008.9694213867188
18499,1008.9694213867188
18567,1008.9694213867188
18632,1008.9694213867188
18699,1009.1651916503906
18766,1009.1651916503906
18832,1009.1651916503906
18899,1009.1651916503906
18967,1009.1651916503906
19033,1009.1651916503906
19099,1009.1651916503906
19167,1009.1651916503906
19233,1009.1651916503906
19299,1009.1651916503906
19365,1009.1651916503906
19432,1009.1651916503906
19499,1009.1651916503906
19567,1009.1651916503906
19632,1009.1651916503906
19699,1009.3533325195312
19767,1009.3533325195312
19854,1009.3533325195312
19899,1009.3533325195312
19965,1009.3533325195312
20032,1009.3533325195312
20099,1009.3533325195312
20167,1009.3533325195312
20232,1009.3533325195312
20299,1009.3533325195312
20367,1009.3533325195312
20432,1009.3533325195312
20499,1009.3533325195312
20567,1009.3533325195312
20632,1009.3533325195312
20699,1009.3533325195312
20765,1009.5137023925781
20833,1009.5137023925781
20899,1009.5137023925781
20967,1009.5137023925781
21033,1009.5137023925781
21099,1009.5137023925781
21167,1009.5137023925781
21232,1009.5137023925781
